algoritmo,tamanho_entrada,tempo_medio_us,operacoes_medio
inversao,10,0.06,27.00
busca_sequencial,10,0.15,32.00
busca_binaria_iterativa,10,0.05,23.00
busca_binaria_recursiva,10,0.33,21.00
inversao,100,0.29,252.00
busca_sequencial,100,0.28,302.00
busca_binaria_iterativa,100,0.08,38.00
busca_binaria_recursiva,100,0.08,36.00
inversao,1000,2.38,2502.00
busca_sequencial,1000,2.37,3002.00
busca_binaria_iterativa,1000,0.12,53.00
busca_binaria_recursiva,1000,0.10,51.00
inversao,5000,11.01,12502.00
busca_sequencial,5000,18.48,15002.00
busca_binaria_iterativa,5000,0.28,68.00
busca_binaria_recursiva,5000,0.23,66.00
